BugHunter.AnalyzersVersions.SystemIO.V02_IdentifierName_SymbolAnalysis;17,544;16,589;19,074;17,344;17,344;19,613;17,036;17,691;18,082;19,176;18,564;18,408;18,68;20,388;18,804;19,309;18,528;18,872;17,89;17,59;18,664;19,374;18,708;17,459;17,804;17,677;18,74;18,987;18,242;19,564;18,87;20,196;20,679;17,566;18,518;18,028;20,769;17,443;19,083;19,203;20,273;19,865;19,644;18,932;19,421;19,773;17,692;19,192;17,618;18,522;19,625;20,379;18,344;18,775;18,444;18,189;19,293;18,694;16,683;17,804;18,15;17,656;18,696;18,022;17,765;20,226;17,598;18,124;18,81;20,317;19,983;17,507;19,207;18,11;17,661;19,515;18,959;19,169;18,557;18,905;17,917;19,537;19,853;18,591;19,742;17,789;19,054;18,031;17,901;19,08;19,944;19,454;19,449;18,654;19,66;18,609;17,482;19,074;19,546;18,368
BugHunter.AnalyzersVersions.SystemIO.V10_IdentifierName_EnhancedSyntaxAnalysisAndSymbolAnalysis;10,371;10,845;11,015;9,846;9,846;11,743;10,239;11,591;12,149;10,636;10,585;11,099;10,472;12,563;11,841;11,31;9,648;11,042;10,486;10,138;10,464;11,715;10,621;10,685;9,559;10,052;11,565;10,397;11,737;11,778;10,906;9,745;10,098;11,778;10,927;12,253;11,245;10,602;10,072;12,243;10,681;11,067;11,965;11,894;11,247;10,958;11,316;10,727;10,71;11,806;10,545;11,407;11,67;10,87;12,151;11,102;10,391;10,324;10,89;12,163;9,953;10,69;11,698;11,434;9,535;11,138;11,375;9,235;11,588;10,683;10,433;10,874;10,866;9,966;10,738;11,015;10,966;10,371;10,756;10,414;10,723;12,534;12,385;10,645;11,421;10,245;10,662;9,874;10,421;11,112;11,299;11,223;10,457;9,706;11,563;12,71;10,401;10,436;11,11;11,818
BugHunter.AnalyzersVersions.SystemIO.V09_CompilationStartSyntaxTreeAndEnd_FulltextSearchAndSymbolParallelExecutionAndAnallysis_WithBag;9,658;14,592;18,872;16,291;16,291;16,701;14,543;16,052;16,818;17,683;20,799;14,581;14,517;18,734;17,343;20,004;15,098;22,647;15,623;15,888;17,536;23,766;21,311;14,879;13,956;16,977;23,364;21,404;23,005;24,636;19,609;19,324;19,711;18,216;15,577;20,355;21,521;18,088;19,785;17,991;25,108;23,691;20,754;17,758;23,851;20,868;15,868;21,267;16,055;17,768;17,9;21,742;14,892;16,921;17,005;16,01;18,139;16,191;15,269;21,813;16,591;17,165;19,703;18,106;16,605;18,648;13,967;12,585;16,649;23,625;21,863;13,451;16,436;14,817;21,627;20,155;27,348;23,445;17,34;17,279;18,17;21,171;18,503;17,224;16,297;17,446;18,887;14,626;15,316;18,107;20,867;22,592;18,104;16,68;21,349;22,3;14,799;20,249;23,501;19,453
BugHunter.AnalyzersVersions.SystemIO.V00_IdentiferName_DirectSemanticModelAccess;7,736;7,564;8,476;7,287;7,287;7,903;7,689;7,563;7,738;8,729;8,357;7,253;8,013;7,483;7,58;7,935;7,921;8,077;7,619;7,401;7,774;7,733;9,348;7,721;7,729;7,934;8,731;7,639;8,181;7,845;8,257;8,005;8,185;8,011;7,446;7,891;7,804;7,75;7,095;7,111;8,044;7,716;8,492;7,835;8,214;8,379;8,606;8,304;7,227;7,684;7,712;7,918;7,565;8,903;8,324;8,092;8,063;7,963;7,683;7,998;7,883;8,548;7,528;7,937;6,901;8,046;7,308;7,459;8,003;8,03;8,13;8,294;7,872;7,832;7,967;7,747;8,242;8,206;7,846;8,673;8,593;8,172;8,215;7,577;7,614;8,181;7,517;8,081;7,414;7,421;8,201;7,894;7,234;7,261;8,181;8,328;7,395;7,276;7,934;7,409
BugHunter.AnalyzersVersions.SystemIO.V01_IdentifierName_StrignAndSymbolComparison;7,375;7,286;7,882;7,086;7,086;7,788;7,498;8,366;7,575;7,516;7,842;7,369;8,035;7,937;7,966;7,555;7,245;8,695;7,768;7,36;7,932;8,237;8,068;6,788;6,771;7,624;8,13;7,948;7,73;8,282;8,082;7,975;7,275;6,95;8,124;7,727;8,399;7,36;7,632;7,88;8,144;7,978;7,314;7,547;8,297;7,576;7,775;7,725;7,209;7,712;7,77;7,878;7,567;6,82;8,026;7,611;7,489;7,066;6,889;8,188;7,54;7,121;7,702;6,678;7,397;7,679;7,54;6,672;6,699;8,792;7,26;7,464;7,713;7,554;8,343;7,257;7,949;7,753;7,545;7,292;7,565;7,888;7,005;8,133;7,853;7,205;8,006;7,555;7,013;7,377;7,394;7,567;7,041;7,428;7,19;8,121;7,237;7,329;8,195;7,31
BugHunter.AnalyzersVersions.SystemIO.V07_CompilationStartSyntaxTreeAndEnd_FulltextSearchAndSymbolAnallysis_WithBag;5,694;6,675;8,348;6,793;6,793;7,73;6,517;7,171;7,291;7,968;7,543;6,328;6,552;7,518;7,028;7,271;6,894;8,049;6,797;6,688;7,283;8,206;8,26;6,018;6,688;7,221;8,14;8,814;7,983;9,119;7,46;7,971;7,946;7,59;6,639;7,419;7,654;6,764;7,17;8,039;8,385;7,899;7,238;7,254;8,877;8,868;6,916;8,169;7,056;7,3;8,366;8,242;6,787;7,144;7,789;7,301;7,023;6,859;6,843;8,368;7,364;7,606;8,431;7,403;6,498;7,117;7,31;6,777;7,002;8,261;7,805;6,815;7,633;6,517;7,195;8,476;8,648;8,175;7,186;7,24;7,009;7,573;7,824;7,07;6,682;6,737;7,545;7,462;6,712;6,887;8,116;8,661;6,834;6,392;7,744;8,428;6,52;7,603;8,603;7,386
BugHunter.AnalyzersVersions.SystemIO.V12_IdentifierName_EnhancedSyntaxAnalysisAndStringPlusSymbolAnalysisWithCachedResults;1,323;1,294;1,381;1,267;1,267;1,126;1,368;1,066;1,002;1,059;1,21;1,003;1,349;1,577;1,25;1,364;1,134;1,467;1,581;1,357;1,334;1,481;1,128;1,138;1,4;1,052;1,482;1,445;1,307;1,41;1,718;1,393;1,587;1,827;1,488;1,211;1,627;1,489;1,287;1,112;1,161;1,232;1,1;1,172;1,133;2,305;1,701;1,409;1,327;1,247;1,751;1,193;1,319;1,783;1,005;1,371;1,206;1,131;1,09;1,734;1,013;1,237;1,064;1,076;1,246;1,228;1,314;1,341;1,767;1,237;1,195;1,54;0,947;1,235;1,105;1,716;1,372;1,449;1,459;1,299;1,204;1,479;1,276;1,337;1,128;1,545;1,401;1,201;1,021;1,042;1,275;1,136;1,865;1,649;1,058;1,438;1,099;1,007;1,301;1,23
BugHunter.AnalyzersVersions.SystemIO.V11_IdentifierName_EnhancedSyntaxAnalysisAndSymbolAnalysisWithCachedResults;1,293;1,375;1,292;1,426;1,426;1,143;1,359;0,969;1,043;1,114;1,334;1,364;1,695;1,12;1,506;1,256;1,759;1,192;1,452;1,309;1,014;1,211;1,325;1,372;1,046;1,41;1,084;1,432;1,237;1,335;1,138;1,668;1,162;1,05;1,161;1,266;1,448;1,362;1,508;1,402;1,377;1,229;1,141;1,063;1,724;1,135;1,015;1,097;1,094;1,507;1,308;1,282;1,15;1,07;1,308;0,956;1,462;1,533;1,333;1,532;1,014;1,52;1,285;1,333;0,969;1,913;1,583;0,966;1,759;1,564;1,19;0,963;1,582;1,288;1,246;1,102;1,391;1,164;2,379;1,42;1,245;2,625;1,498;1,421;1,005;1,404;1,132;1,021;1,454;1,284;1,18;1,37;1,254;1,325;1,304;2,197;1,184;1,358;1,225;1,164
BugHunter.AnalyzersVersions.SystemIO.V00_IdentiferName_EmptyCallback;0,844;0,505;0,513;0,907;0,907;1;0,289;0,592;0,63;0,399;0,571;0,38;0,313;0,589;0,384;0,489;0,433;0,148;0,499;0,598;0,394;0,852;0,148;0,319;0,631;0,427;0,724;0,654;0,771;0,148;0,288;0,267;0,483;0,393;0,149;0,26;0,149;0,475;0,757;0,713;0,849;0,644;0,148;0,703;0,792;0,288;0,148;0,72;0,536;0,819;1,041;0,562;0,655;0,93;0,264;0,299;0,637;0,359;0,589;1,426;0,531;0,67;0,149;0,621;0,719;0,744;1,202;0,406;0,169;0,497;0,375;0,471;0,82;0,573;0,6;0,487;0,463;1,022;0,773;0,148;0,823;0,15;0,379;0,415;0,285;0,434;0,148;0,515;0,628;0,459;0,801;0,576;0,537;0,96;0,298;0,657;0,583;0,648;0,409;0,694;0,460
