BugHunter.AnalyzersVersions.SystemIO.V77_IdentifierName_SymbolAnalysis;17,641;16,701;18,042;19,481;20,106;17,746;18,694;19,371;18,687;20,491;19,651;18,724;17,538;20,092;19,197;17,72;18,953;18,475;21,283;16,795;17,56;18,103;17,484;19,233;18,873;19,422;16,882;20,221;18,224;17,428;18,643;18,097;19,74;18,702;18,115;17,928;18,21;18,646;18,082;17,147;17,495;19,428;18,633;18,961;20,786;16,398;18,162;17,174;19,775;18,389;20,289;17,884;18,226;18,52;18,425;20,822;18,77;18,202;17,244;20,29;19,009;19,176;19,435;18,977;19,55;17,668;18,529;17,562;17,707;18,289;18,345;19,577;18,982;16,891;18,035;19,759;16,543;17,685;16,858;18,418;17,506;17,427;18,015;18,027;17,389;18,998;17,043;19,263;19,652;18,08;18,756;19,484;17,424;18,385;18,868;18,998;18,754;19,006;18,219;17,629
BugHunter.AnalyzersVersions.SystemIO.V22_IdentifierName_EnhancedSyntaxAnalysisAndSymbolAnalysis;9,818;11,072;10,269;11,339;9,758;10,938;12,004;12,318;9,971;9,932;10,979;10,439;11,193;10,802;10,031;9,19;9,812;9,519;9,766;8,22;9,765;10,542;9,777;10,665;9,837;11,53;8,796;11,26;9,65;10,834;12,125;10,464;11,246;11,669;9,945;9,927;9,171;10,047;9,932;10,228;9,748;9,983;10,999;10,54;9,716;7,926;8,335;10,409;9,974;10,772;9,648;10,892;9,622;9,781;10,24;11,158;9,879;10,444;9,46;10,628;11,16;9,624;10,129;10,034;9,562;9,553;10,143;10,732;10,812;10,733;8,108;10,152;10,227;9,282;10,143;11,033;9,753;10,998;8,821;9,553;9,607;9,834;10,585;8,694;10,279;10,18;9,708;11,405;10,915;10,808;10,724;9,413;9,24;10,071;11,419;10,556;9,083;9,232;10,239;9,607
BugHunter.AnalyzersVersions.SystemIO.V33_CompilationStartSyntaxTreeAndEnd_FulltextSearchAndSymbolAnallysis_WithBag;9,323;8,375;9,272;9,113;10,221;9,912;8,661;9,345;9,292;10,842;10,22;10,456;9,24;10,335;8,907;9,011;9,37;9,26;10,785;8,36;9,105;8,779;8,844;10,869;8,551;10,688;8,479;10,181;8,646;9,7;9,555;8,618;10,684;9,79;9,02;9,147;10,045;8,664;9,391;8,452;8,491;9,728;9,023;8,764;9,648;8,368;9,615;10,228;10,475;9,114;8,996;9,857;9,479;9,079;9,378;10,446;10,412;9,676;8,21;9,946;9,325;8,72;8,429;9,637;9,177;8,746;9,807;8,539;10,048;9,311;8,854;10,413;8,822;8,912;10,22;10,912;9,136;9,276;8,445;8,908;9,329;8,449;8,195;8,569;8,224;9,221;9,174;10,192;9,966;10,461;10,334;10,048;9,984;9,587;9,855;9,338;9,43;8,995;9,438;8,192
BugHunter.AnalyzersVersions.SystemIO.V88_IdentiferName_DirectSemanticModelAccess;7,55;6,926;7,541;7,586;8,183;7,442;7,501;8,78;8,42;8,421;7,755;7,64;8,096;8,473;7,625;8,249;7,735;7,851;9,395;6,98;7,685;8,126;8,079;8,12;8,962;8,212;7,566;8,781;8,104;8,002;7,918;7,531;8,782;8,746;7,339;7,472;8,41;7,333;7,956;7,806;7,803;8,614;7,377;8,257;8,568;7,122;7,783;8,364;8,112;8,347;9,218;9,265;7,884;8,263;8,139;9,546;7,662;7,784;7,603;8,523;8,391;7,897;7,581;8,043;8,205;7,881;8,65;7,666;7,798;7,318;7,657;7,609;7,911;7,414;8,018;8,487;7,098;8,204;7,331;7,12;7,607;7,477;7,012;8,362;8,35;7,38;7,607;8,404;8,456;8,089;9,403;8,167;8,305;8,701;8,204;8,892;7,395;7,926;7,787;7,815
BugHunter.AnalyzersVersions.SystemIO.V66_IdentifierName_StrignAndSymbolComparison;7,479;7,32;7,466;6,691;7,964;7,627;7,025;8,159;8,38;7,713;7,776;6,805;7,116;7,407;6,53;7,252;7,302;7,279;7,715;6,953;6,962;6,915;6,912;6,629;7,235;7,487;8,078;7,001;6,661;7,01;6,849;6,442;7,742;7,912;6,864;6,965;6,778;6,52;7,005;6,52;7,557;7,992;8,103;7,133;7,332;6,723;7,521;8,021;7,715;6,996;7,092;6,792;7,353;6,795;7,506;8,265;7,512;6,667;6,886;7,681;7,962;7,614;7,692;7,698;7,636;7,73;8,309;7,192;7,418;8,489;7,35;7,177;7,742;6,575;6,73;7,005;6,326;7,544;7,029;6,881;6,628;6,856;6,738;7,323;6,827;8,021;7,103;7,383;7,884;7,285;8,421;7,002;6,887;7,165;7,905;7,279;6,835;7,418;6,931;7,47
BugHunter.AnalyzersVersions.SystemIO.V01_IdentifierName_EnhancedSyntaxAnalysisAndStringPlusSymbolAnalysisWithCachedResults;2,224;1,97;1,793;3,028;2,513;1,906;2,325;2,71;2,314;2,002;2,497;1,822;2,997;2,452;2,166;2,427;1,813;3,635;2,517;1,923;2,097;2,683;1,739;3,228;2,134;2,86;2,732;2,597;2,913;2,882;2,166;2,415;2,351;3,336;2,175;1,688;3,323;2,398;2,035;1,978;2,343;1,969;3,208;2,128;2,889;1,993;2,517;2,366;3,212;3,521;2,028;2,496;2,562;2,212;2,52;1,78;1,988;2,359;2,418;2,579;2,724;2,277;1,921;3,183;3,148;2,468;2,041;3,003;2,439;1,811;2,46;2,475;2,322;2,057;2,52;2,145;1,828;2,604;2,528;2,218;2,435;2,196;2,337;2,168;3,321;2,035;1,821;3,184;2,191;2,659;1,831;1,851;2,522;2,541;2,152;2,082;1,909;2,344;2,518;2,289
BugHunter.AnalyzersVersions.SystemIO.V99_IdentiferName_EmptyCallback;0,206;0,152;0,155;0,152;0,355;0,169;0,153;0,301;0,865;0,155;0,153;0,154;0,218;0,154;0,154;0,344;0,166;0,152;0,203;0,152;0,246;0,155;0,156;0,219;0,282;0,174;0,261;0,337;0,486;0,159;0,152;0,545;0,185;0,314;0,153;0,176;0,519;0,363;0,83;0,242;0,157;0,858;0,719;0,152;0,328;0,152;0,162;0,343;0,158;0,2;0,201;0,531;0,381;0,153;0,154;0,533;0,423;0,153;0,322;0,153;0,153;0,155;0,314;0,42;0,152;0,152;0,27;0,153;0,153;0,153;0,204;0,153;0,419;0,2;0,197;0,154;0,337;0,341;0,31;0,153;0,158;0,153;0,658;0,153;0,778;0,153;0,191;0,155;0,408;0,245;0,153;0,8;0,159;0,177;0,37;0,287;0,186;0,153;0,154;0,154
