BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpResponseRedirectAnalyzer;0,27;0,175;0,176;0,446;0,18;0,185;0,298;0,617;0,43;0,242;0,177;0,178;0,176;0,179;0,177;0,183;0,175;0,312;0,469;0,176;0,176;0,175;0,177;0,177;0,175;0,181;0,175;0,477;0,178;0,198;0,176;0,344;0,176;0,175;0,327;0,177;0,223;0,289;0,177;0,179;0,221;0,177;0,176;0,247;0,177;0,176;0,179;0,175;0,176;0,176;0,374;0,176;0,411;0,194;0,177;0,782;0,175;0,178;0,177;0,176;0,332;0,596;0,18;0,178;0,179;0,176;0,176;0,191;0,177;0,221;0,753;0,397;0,235;0,316;0,513;0,206;0,176;0,379;0,301;0,176;0,219;0,196;0,185;0,177;0,204;0,394;0,177;0,176;0,176;0,175;0,176;0,473;0,198;0,174;0,179;0,178;0,322;0,267;0,183;0,299
BugHunter.Analyzers.StringAndCultureRules.Analyzers.StringIndexOfMethodsAnalyzer;0,245;0,14;0,148;0,14;0,14;0,141;0,141;0,14;0,171;0,377;0,139;0,14;0,14;0,141;0,268;0,141;0,14;0,139;0,325;0,141;0,306;0,14;0,306;0,14;0,141;0,285;0,141;0,139;0,141;0,145;0,14;0,142;0,14;0,14;0,14;0,141;0,139;0,139;0,495;0,14;0,273;0,171;0,139;0,141;0,29;0,14;0,141;0,139;0,14;0,14;0,14;0,365;0,31;0,14;0,14;0,29;0,29;0,292;0,14;0,14;0,139;0,139;0,141;0,157;0,407;0,293;0,36;0,14;0,141;0,377;0,312;0,139;0,139;0,287;0,139;0,141;0,18;0,14;0,141;0,141;0,141;0,14;0,141;0,14;0,14;0,141;0,14;0,295;0,14;0,294;0,14;0,14;0,434;0,154;0,14;0,224;0,139;0,344;0,187;0,14
BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.ClientScriptMethodsAnalyzer;0,21;0,207;0,326;0,21;0,207;0,211;0,208;0,207;0,207;0,21;0,207;0,238;0,207;0,21;0,209;0,209;0,332;0,576;0,823;0,208;0,207;0,302;0,474;0,209;0,206;0,588;0,212;0,208;0,21;0,208;0,209;0,208;0,207;0,205;0,343;0,272;0,208;0,321;0,207;0,243;0,607;0,516;0,581;0,208;0,232;0,549;0,21;0,477;0,208;0,207;0,208;0,208;0,393;0,318;0,207;0,38;0,205;0,209;0,209;0,208;0,237;0,693;0,211;0,388;0,209;0,208;0,207;0,209;0,208;0,206;0,58;0,253;0,206;0,222;0,231;0,206;0,206;0,207;0,464;0,408;0,206;0,254;0,209;0,432;0,403;0,209;0,482;0,255;0,352;0,207;0,331;0,72;0,255;0,383;0,232;0,58;0,206;0,409;0,23;0,497
BugHunter.Analyzers.AbstractionOverImplementation.Analyzers.LuceneSearchDocumentAnalyzer;0,203;0,161;0,526;0,457;0,161;0,562;0,159;0,161;0,17;0,232;0,268;0,167;0,351;0,641;0,464;0,162;0,778;0,342;0,168;0,16;0,163;0,159;0,166;0,272;0,307;0,678;0,299;0,598;0,366;0,162;0,687;0,47;0,311;0,194;0,304;0,163;0,326;0,208;0,42;0,159;0,255;0,501;0,164;0,203;0,166;0,201;0,165;0,163;0,805;0,16;0,25;0,158;0,161;0,159;0,477;0,16;0,163;0,439;0,163;0,429;0,557;0,161;0,224;0,671;0,759;0,315;0,161;0,451;0,214;0,635;0,165;0,5;0,16;0,162;0,345;0,161;0,342;0,214;0,438;0,164;0,254;0,166;0,269;0,162;0,58;0,249;0,16;0,3;0,19;0,335;0,279;0,504;0,349;0,84;0,292;0,499;0,532;0,57;0,215;0,159
BugHunter.Analyzers.StringAndCultureRules.Analyzers.StringEqualsMethodAnalyzer;0,182;0,14;0,142;0,381;0,368;0,14;0,262;0,141;0,263;0,141;0,139;0,141;0,14;0,336;0,42;0,14;0,14;0,243;0,14;0,228;0,139;0,14;0,141;0,14;0,141;0,14;0,577;0,14;0,262;0,141;0,416;0,142;0,141;0,14;0,424;0,41;0,282;0,139;0,14;0,292;0,14;0,14;0,139;0,142;0,14;0,14;0,152;0,297;0,14;0,14;0,14;0,141;0,14;0,508;0,266;0,14;0,278;0,291;0,208;0,239;0,14;0,438;0,417;0,141;0,14;0,143;0,14;0,139;0,513;0,142;0,283;0,337;0,139;0,142;0,14;0,299;0,14;0,333;0,141;0,266;0,14;0,14;0,145;0,454;0,141;0,141;0,14;0,293;0,296;0,14;0,398;0,187;0,146;0,141;0,14;0,141;0,139;0,19;0,14;0,14
BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.PageIsPostBackAnalyzer;0,179;0,487;0,467;0,179;0,517;0,194;0,343;0,235;0,399;0,179;0,934;0,334;0,333;0,335;0,386;0,421;0,305;0,179;0,374;0,177;0,351;0,178;0,178;0,18;0,183;0,177;0,391;1,098;0,18;0,179;0,18;0,309;0,178;0,33;0,193;0,178;0,457;0,178;0,18;0,208;0,179;0,297;0,461;0,176;0,18;0,528;0,18;0,453;0,228;0,197;0,179;0,178;0,178;0,179;0,332;0,179;0,338;0,331;0,307;0,178;0,52;0,179;0,178;0,275;0,246;0,178;0,177;0,384;0,177;0,35;0,211;0,177;0,176;0,356;0,178;0,571;0,469;0,178;0,426;0,18;0,641;0,327;0,679;0,179;0,21;0,176;0,18;0,183;0,179;0,177;0,179;0,532;0,181;0,179;0,486;1,097;0,295;0,177;0,42;0,358
BugHunter.Analyzers.StringAndCultureRules.Analyzers.StringManipulationMethodsAnalyzer;0,169;0,335;0,137;0,141;0,172;0,135;0,135;0,151;0,135;0,401;0,134;0,135;0,135;0,136;0,134;0,135;0,135;0,175;0,135;0,351;0,134;0,213;0,136;0,136;0,135;0,134;0,137;0,134;0,166;0,135;0,134;0,137;0,135;0,192;0,406;0,136;0,134;0,309;0,135;0,524;0,135;0,424;0,144;0,164;0,286;0,17;0,137;0,166;0,134;0,135;0,134;0,135;0,135;0,405;0,134;0,134;0,49;0,145;0,3;0,419;0,134;0,167;0,136;0,135;0,206;0,134;0,134;0,308;0,136;0,165;0,268;0,134;0,134;0,387;0,134;0,136;0,424;0,135;0,138;0,135;0,176;0,147;0,3;0,135;0,135;0,148;0,135;0,461;0,135;0,134;0,191;0,14;0,134;0,135;0,135;0,135;0,134;0,135;0,165;0,155
BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpRequestBrowserAnalyzer;0,165;0,32;0,292;0,14;0,142;0,143;0,141;0,265;0,65;0,141;0,141;0,283;0,142;0,141;0,14;0,259;0,381;0,141;0,139;0,139;0,142;0,139;0,14;0,141;0,172;0,223;0,293;0,14;0,14;0,323;0,479;0,405;0,139;0,14;0,308;0,142;0,139;0,477;0,224;0,181;0,139;0,257;0,309;0,502;0,14;0,194;0,141;0,141;0,323;0,373;0,142;0,139;0,14;0,14;0,14;0,142;0,139;0,141;0,139;0,14;0,353;0,139;0,502;0,472;0,3;0,139;0,436;0,14;0,153;0,14;0,142;0,433;0,17;0,445;0,14;0,142;0,141;0,297;0,156;0,141;0,289;0,284;0,313;0,139;0,14;0,139;0,141;0,701;0,14;0,255;0,301;0,141;0,14;0,14;0,453;0,229;0,5;0,139;0,174;0,265
BugHunter.Analyzers.StringAndCultureRules.Analyzers.StringCompareToMethodAnalyzer;0,163;0,163;0,165;0,164;0,165;0,169;0,202;0,162;0,161;0,367;0,2;0,163;0,163;0,164;0,161;0,163;0,164;0,161;0,21;0,328;0,169;0,163;0,37;0,213;0,165;0,304;0,163;0,261;0,318;0,163;0,161;0,165;0,164;0,274;0,314;0,687;0,252;0,17;0,33;0,164;0,21;0,313;0,383;0,163;0,161;0,181;0,311;0,163;0,194;0,169;0,161;0,163;0,185;0,162;0,162;0,188;0,588;0,163;0,163;0,162;0,49;0,618;0,164;0,163;0,167;0,295;0,163;0,166;0,341;0,183;0,162;0,36;0,313;0,164;0,514;0,164;0,216;0,165;0,163;0,163;0,256;0,161;0,163;0,182;0,202;0,436;0,167;0,162;0,166;0,438;0,162;0,163;0,162;0,337;0,341;0,164;0,163;0,356;0,389;0,172
BugHunter.Analyzers.CmsApiGuidelinesRules.Analyzers.EventLogArgumentsAnalyzer;0,16;0,143;0,311;0,144;0,143;0,144;0,294;0,449;0,142;0,452;0,143;0,143;0,617;0,144;0,696;0,143;0,142;0,142;0,455;0,147;0,15;0,143;0,144;0,194;0,143;0,174;0,144;0,142;0,144;0,383;0,279;0,145;0,144;0,773;0,144;0,145;0,142;0,322;0,185;0,19;0,143;0,172;0,143;0,18;0,143;0,143;0,145;0,143;0,143;0,155;0,376;0,19;0,156;0,143;0,151;0,143;0,18;0,144;0,144;0,265;0,143;0,143;0,144;0,427;0,143;0,481;0,144;0,143;0,144;0,143;0,283;0,142;0,142;0,436;0,144;0,143;0,144;0,144;0,152;0,153;0,143;0,142;0,144;0,263;0,143;0,145;0,143;0,143;0,144;0,142;0,143;0,152;0,142;0,143;0,144;0,144;0,143;0,142;0,143;0,171
